school, latitude, longitude, sagarin, public, HBCU, R1
Alabama, 33.2074899449517, -87.5503921508789, 95.735, 1, 0, 1
Ohio State, 40.0016856893694, -83.019728064537, 92.01, 1, 0, 1
Oklahoma, 35.205899594885, -97.4425506591796, 89.1794444444444, 1, 0, 1
LSU, 30.4120123982997, -91.1838197708129, 87.9938888888889, 1, 0, 1
Clemson, 34.6787466574134, -82.8431797027587, 87.8288888888889, 1, 0, 1
Georgia, 33.9498214894988, -83.3734416961669, 87.8183333333333, 1, 0, 1
Oregon, 44.0582727242666, -123.068504333496, 85.1183333333333, 1, 0, 1
USC, 34.0140097406291, -118.287895917892, 84.61, 0, 0, 1
Florida, 29.6498686779723, -82.348666191101, 84.4433333333333, 1, 0, 1
Wisconsin, 43.0699380264687, -89.4127464294433, 84.3838888888889, 1, 0, 1
Texas, 30.2836034020682, -97.7323365211486, 83.38, 1, 0, 1
Penn State, 40.8121527327504, -77.8562021255493, 83.2555555555556, 1, 0, 1
TCU, 32.7099159694234, -97.3679959774017, 82.8594444444445, 0, 0, 0
Auburn, 32.6023616668175, -85.4889106750488, 82.8327777777778, 1, 0, 1
Notre Dame, 41.6984231215861, -86.2338244915008, 82.3294444444445, 0, 0, 1
Oklahoma State, 36.1257086623585, -97.0665049552917, 82.1044444444444, 1, 0, 1
Michigan, 42.2658687325173, -83.7487256526947, 81.6572222222222, 1, 0, 1
Florida State, 30.4375475846212, -84.304533981035, 80.9383333333333, 1, 0, 1
Texas A&M, 30.6100975781747, -96.3407292285928, 80.3988888888889, 1, 0, 1
Utah, 40.7599478200457, -111.8488240242, 79.9094444444444, 1, 0, 1
Iowa, 41.6583889368098, -91.5514755249023, 79.8355555555556, 1, 0, 1
Boise State, 43.6027080538683, -116.195912361145, 79.7994444444445, 1, 0, 0
West Virginia, 39.6522199248281, -79.9551753012939, 79.1777777777778, 1, 0, 1
Virginia Tech, 37.2199742830054, -80.4180550575256, 78.9916666666667, 1, 0, 1
Stanford, 37.4347264132917, -122.161016464233, 78.9377777777778, 0, 0, 1
Michigan State, 42.7281691163326, -84.4848753511905, 78.24, 1, 0, 1
Washington, 47.6504305440122, -122.302919847393, 77.7805555555556, 1, 0, 1
Missouri, 38.9358952967223, -92.3331141471862, 77.75, 1, 0, 1
Kansas State, 39.2018636181424, -96.593792438507, 77.5677777777778, 1, 0, 1
South Carolina, 33.9725911545769, -81.020216345787, 77.2855555555556, 1, 0, 1
Mississippi State, 33.456230599072, -88.7934243679046, 77.1522222222222, 1, 0, 1
Tennessee, 35.9547343726225, -83.9253330230712, 77.0416666666667, 1, 0, 1
Arizona State, 33.426364, -111.932616, 76.7588888888889, 1, 0, 1
Nebraska, 40.8204835232949, -96.7057156562805, 76.735, 1, 0, 1
BYU, 40.2574879974631, -111.654438972473, 76.7205555555555, 0, 0, 0
Miami (FL), 25.9579337390289, -80.2388405799865, 76.5461111111111, 0, 0, 1
Arkansas, 36.0678507851673, -94.1787958145141, 76.3905555555556, 1, 0, 1
Baylor, 31.5586626355116, -97.1156001091003, 76.335, 0, 0, 0
Texas Tech, 33.591028298011, -101.87293767929, 76.315, 1, 0, 1
Louisville, 38.2054216852114, -85.758105615668, 76.2766666666667, 1, 0, 1
UCLA, 34.1615695872626, -118.167614936828, 76.1755555555556, 1, 0, 1
Ole Miss, 34.3621543029929, -89.534146260209, 75.6122222222222, 1, 0, 1
Pittsburgh, 40.4467837650163, -80.0157558917999, 75.2066666666667, 1, 0, 1
Cincinnati, 39.131284252734, -84.5162614374157, 74.3227777777778, 1, 0, 1
California, 37.8706866037042, -122.250709533691, 74.2622222222222, 1, 0, 1
North Carolina, 35.9069883474785, -79.0479183197021, 74.1833333333333, 1, 0, 1
Georgia Tech, 33.7725569213194, -84.3928527832031, 73.7833333333333, 1, 0, 1
NC State, 35.8007596820789, -78.7194871902465, 73.4877777777778, 1, 0, 1
Minnesota, 44.9765249691119, -93.2245758175849, 73.0477777777778, 1, 0, 1
Oregon State, 44.5594768421455, -123.281407356262, 72.9111111111111, 1, 0, 1
Northwestern, 42.0653996675299, -87.6924955844879, 72.8744444444445, 0, 0, 1
Iowa State, 42.0140054110848, -93.6358094215393, 72.7055555555556, 1, 0, 1
